GPU,Model,BatchSize,Optimizer,Epoch,Dataset,Resource,avg Idle time,avg Active time,avg Peak consumption,Execution Time
GTX1080,vgg11,16,sgd,20,cifar10,GPU Util%,0.9981940880144473,0.0018059119855527042,0.9980990400152077,7293.656667
GTX1080,vgg11,16,sgd,20,cifar10,GPU Mem Util%,0.9980515160155878,0.0019484839844121282,0.0,7293.656667
GTX1080,vgg11,16,sgd,20,cifar10,GPU Memory,0.9989544720083642,0.001045527991635776,0.9989544720083642,7293.656667
GTX1080,vgg11,16,sgd,20,cifar10,CPU Util%,0.5250451477996388,0.47495485220036116,0.0,7293.656667
GTX1080,vgg11,16,adam,10,cifar10,GPU Util%,0.9944299096970208,0.0055700903029791545,0.9944299096970208,4104.455896
GTX1080,vgg11,16,adam,10,cifar10,GPU Mem Util%,0.994261119081779,0.005738880918220947,0.0,4104.455896
GTX1080,vgg11,16,adam,10,cifar10,GPU Memory,0.9979745126170985,0.0020254873829015107,0.9979745126170985,4104.455896
GTX1080,vgg11,16,adam,10,cifar10,CPU Util%,0.43075365009705463,0.5692463499029454,0.0,4104.455896
GTX1080,vgg11,16,adam,20,cifar10,GPU Util%,0.9969516067572717,0.0030483932427283118,0.9969092679622338,8189.901225
GTX1080,vgg11,16,adam,20,cifar10,GPU Mem Util%,0.9967822515771201,0.0032177484228798846,0.0,8189.901225
GTX1080,vgg11,16,adam,20,cifar10,GPU Memory,0.9989838689190905,0.0010161310809094373,0.9989838689190905,8189.901225
GTX1080,vgg11,16,adam,20,cifar10,CPU Util%,0.5713620390363691,0.428637960963631,0.0,8189.901225
GTX1080,vgg11,32,sgd,10,cifar10,GPU Util%,0.9966600692726373,0.003339930727362692,0.9965363681345868,2800.01672
GTX1080,vgg11,32,sgd,10,cifar10,GPU Mem Util%,0.9959178624443344,0.004082137555665512,0.007545769421078674,2800.01672
GTX1080,vgg11,32,sgd,10,cifar10,GPU Memory,0.9972785749628896,0.0027214250371103412,0.9972785749628896,2800.01672
GTX1080,vgg11,32,sgd,10,cifar10,CPU Util%,0.3728352300841168,0.6271647699158832,0.0,2800.01672
GTX1080,vgg11,32,sgd,20,cifar10,GPU Util%,0.9977581267903849,0.0022418732096151452,0.9975713040229169,5569.198005
GTX1080,vgg11,32,sgd,20,cifar10,GPU Mem Util%,0.9973222069996264,0.0026777930003736455,0.019678664839955163,5569.198005
GTX1080,vgg11,32,sgd,20,cifar10,GPU Memory,0.9986299663719018,0.0013700336280981441,0.9986299663719018,5569.198005
GTX1080,vgg11,32,sgd,20,cifar10,CPU Util%,0.4133765101507037,0.5866234898492964,0.0,5569.198005
GTX1080,vgg11,32,adam,10,cifar10,GPU Util%,0.991348890153671,0.00865110984632897,0.9912350597609562,3045.952281
GTX1080,vgg11,32,adam,10,cifar10,GPU Mem Util%,0.9907797381900968,0.009220261809903244,0.0,3045.952281
GTX1080,vgg11,32,adam,10,cifar10,GPU Memory,0.9972680705748435,0.002731929425156517,0.9972680705748435,3045.952281
GTX1080,vgg11,32,adam,10,cifar10,CPU Util%,0.623562891291975,0.37643710870802505,0.0,3045.952281
GTX1080,vgg11,32,adam,20,cifar10,GPU Util%,0.9958345221112697,0.004165477888730385,0.9957203994293866,6078.113561
GTX1080,vgg11,32,adam,20,cifar10,GPU Mem Util%,0.995549215406562,0.004450784593437946,0.0,6078.113561
